﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.328125,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,0,3.4332,space,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,1.2682,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.329166698,-0.496296353,1,0,0,RightButton,"[""RightButton""]",,,,,0.026041746,2.6162,space,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,1.7328,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.270833397,-0.531481595,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.3148,space,6,4.7789,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,1.4622,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.267708397,-0.518518575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,2.3831,space,0,5.1645,0,28,28,28,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,1.6072,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.277083397,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,100,4.6748,space,50,7.7432,,,,,,0,29,29,29,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,1.3501,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.24375,-0.540740797,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.989583492,2.0176,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,1.1926,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.320833397,-0.488888889,1,0,0,RightButton,"[""RightButton""]",100,3.9419,space,2.6609,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.316666651,-0.540740797,1,0,0,LeftButton,"[""LeftButton""]",0,2.4609,space,1.219,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.307291698,-0.48703715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,1.8139,space,23,4.6435,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,1.2774,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.280208397,-0.48703715,1,0,0,RightButton,"[""RightButton""]",,,,,5,2.3566,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,1.3257,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.305208397,-0.468518575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,100,1.8792,space,51,2.7665,,,,,,0,35,35,35,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,0.9902,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.284375,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",50,1.845,space,1.0325,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.335416651,-0.531481595,1,0,0,LeftButton,"[""LeftButton""]",100,2.3241,space,1.2504,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.3,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,38,38,38,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.279166698,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,4.973958492,1.8852,space,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,1.1503,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.304166651,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.579131,3.8668,space,49.47390893,5.3307,0,40,40,40,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,1.4496,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.270833302,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.8312,space,0,4.3689,,,,,,0,41,41,41,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,0.9977,,,,,,,,,,,,
